,importance
monetary,0.09836735067414698
monetary_3_month,0.09704371361160594
x1_209524,0.0944420750340983
frequency,0.08644978687181464
frequency_3_month,0.08327934476126096
category_count,0.07236641319696263
promoval,0.05664022571991313
x0_527828,0.052524942897567574
recency_3_month,0.04512846131044059
recency,0.04451906093388919
brand_count,0.0426304866415653
x2_165933,0.03542481311487096
x1_37568,0.0200164823119922
x1_176321,0.019548272696415722
x1_108252,0.01073596795145703
x0_241369,0.00850381810408265
x2_278897,0.00754527258207384
x0_625933,0.005402023625870561
x2_191747,0.0049032868689132285
x0_402755,0.0033230864301821966
x1_214816,0.0030941572098756465
x2_274861,0.002672127629849562
x0_1091944,0.00257852090663926
x1_97335,0.0025146011810672237
x2_276730,0.0024534444854728225
x1_65353,0.0023118212328291344
x0_376928,0.0022664034014247764
x2_48013,0.0022440091606130714
x0_441373,0.0022342132846494183
x1_177412,0.0021958931428776216
x0_876095,0.00216815499003697
x2_36431,0.002136696556421306
x2_323706,0.0021359276268509194
x0_842061,0.0020427215431581065
x0_672234,0.00202114738664055
x0_285434,0.001972345570257703
x2_296095,0.001944624719475704
x2_115119,0.001899758542985988
x0_252336,0.001893196419979107
x1_69839,0.0018795693352444453
x2_203586,0.001771169305547875
x2_167995,0.0016810002186693801
x2_42449,0.0016593856100381272
x0_860548,0.0016208912757645739
x1_17125,0.0016027822290647833
x0_129911,0.001593293137080561
x0_1050704,0.0015462349851953392
x0_276400,0.001416670618584841
x0_369707,0.0013910301611570078
x0_775321,0.0013806474823198542
x2_180548,0.0013438151361314752
x2_243820,0.0013307000785383037
x0_283586,0.0013034679959979918
x2_206022,0.0012834363116064125
x0_946941,0.0012555399917047586
x0_61430,0.0011988107887622498
x2_157815,0.0011817158462564877
x2_5506,0.0011652148475515174
x2_7892,0.001151709350005361
x1_73739,0.0011422307921853596
x2_25613,0.0010949109438473375
x0_740794,0.001065904409502392
x0_323749,0.0010534085720818312
x0_990955,0.0010523627380025487
x0_1137612,0.0010172927075464255
x0_239062,0.001004014949660116
x0_1027597,0.0010031657792854544
x0_150085,0.000995951518130086
x0_82449,0.0009527475654205936
x1_170791,0.00094664692917236
x2_42773,0.000942105012015801
x0_405412,0.0009325180853219624
x2_272856,0.0009183635435841931
x0_927995,0.000904015698889436
x2_132336,0.00086958118054727
x0_355471,0.0008418745625539642
x0_457755,0.0007918744610627119
x0_616660,0.0007737729402249306
x0_96431,0.0007434133674953572
x0_168262,0.0007299525314086201
x0_953436,0.0007216299896836281
x0_306287,0.0006893937089299884
x2_293974,0.0006808938978109753
x0_367489,0.0006763848215809925
x0_1149609,0.0006754243463349362
x2_325318,0.0006445335330025239
x2_109369,0.0006398964959775443
x2_67664,0.0006392630986840253
x0_422416,0.0006175454451115104
x0_485613,0.0005498254918329707
x0_271394,0.0005213378764446006
x1_32358,0.0005199412596309743
x0_1026678,0.0005089571123226118
x0_738137,0.0004883795543148753
x0_1056730,0.00048652291819372974
x0_553974,0.00048338913652027927
x0_117221,0.0004762103805118063
x0_299747,0.0004717576223338276
x0_445592,0.0004677671727658053
x0_565318,0.00043668041723676657
x0_476177,0.00043552422826600247
x2_284893,0.00042552845223645325
x0_1053332,0.0004180636338069294
x2_140529,0.00041510555769057393
x0_465875,0.00040537019254635045
x0_1020264,0.00040166303800182724
x0_887954,0.00036396134193877124
x0_262773,0.00036189702347924277
x1_89784,0.0003537653983951549
x0_336893,0.00035022045567810467
x0_394092,0.0003398934598405028
x0_703493,0.0003324289760426061
x0_190472,0.00031962535550176467
x0_900981,0.0002755593464219977
x0_89397,0.00025101549973148297
x2_62416,0.00023908035143647117
x0_1059879,0.0002296298491730037
x0_489461,0.00022159888217725376
x0_546386,0.00021016704826943506
x0_360979,0.00020682301757462374
x0_685351,0.00020190043464720479
x2_334402,0.00020175870363274163
x0_7845,0.00016132490906217435
x0_928477,0.00016067261827019675
x0_1155220,0.0001534742942689631
x0_374402,0.00014242629385624969
x0_1073890,0.00014000730204877628
x0_198640,0.00012863983437077993
x0_588961,0.00011893454987769017
x0_818179,0.00011431228231097661
x0_192907,8.659306878373598e-05
x1_200736,8.277485661447201e-05
x0_30349,8.185116938960172e-05
x2_36835,3.7531729309211395e-05
x0_31747,3.0604853152427855e-05
x0_934192,2.8309619221938325e-05
x0_796385,2.7042431514772922e-05
x0_520529,1.0673187546923327e-05
x0_399354,1.023650504985083e-05
x2_103373,7.869383487039387e-06
x0_1137386,4.509824172581208e-06
x0_946391,2.841794008631662e-06
x0_414780,2.251908533990633e-06
x2_303057,1.6726397087166252e-06
x0_1113598,1.2870963389678774e-06
x0_148397,0.0
x0_1132345,0.0
x0_192173,0.0
x0_1072300,0.0
x0_410129,0.0
x0_205084,0.0
x0_227306,0.0
x0_352262,0.0
x0_953643,0.0
x0_460988,0.0
x0_485992,0.0
x0_577447,0.0
x0_737062,0.0
x0_761459,0.0
x0_814122,0.0
x0_825740,0.0
x0_986671,0.0
x0_780270,0.0
